id,season,city,team1,team2,toss_winner,toss_decision,winner,batting1_runs,batting2_runs,batting1_super_over,batting2_super_over,bowling1_extras,bowling2_extras,p1,p2,SAB,team1_bat_score,team2_bat_score,team1_ball_score,team2_ball_score
1,2017,1,10,3,3,0,10,207,172,0,0,7,6,0,0,-0.571428571,6,10,7,7
2,2017,2,1,11,11,0,11,184,187,0,0,8,4,0,0,0.666666667,9,5,6,6
3,2017,3,8,2,2,0,2,183,184,0,0,4,15,0,0,0.5,5,2,6,6
4,2017,4,11,9,9,0,9,163,164,0,0,6,10,0,0,-0.346149093,5.341875,6,4.852556709,6
5,2017,5,3,7,3,1,3,157,142,0,0,6,5,0,0,-0.015231549,8.57475384,10,6.923495156,6
6,2017,1,8,10,10,0,10,135,140,0,0,3,3,0,0,1.071117629,7.792122067,3.3261544,6.707106781,4.972533605
7,2017,6,2,1,1,0,1,178,180,0,0,9,12,0,0,-0.313603857,7.951923077,7.356481481,4.862567564,6.630601937
8,2017,4,3,9,3,1,9,148,150,0,0,4,6,0,0,0.58672556,7.512303495,4.373773448,4.672098389,4.9329806
9,2017,2,7,11,11,0,7,205,108,0,0,8,5,0,0,0.279092362,8.108099256,9.373573718,5.634753048,4.173793432
10,2017,6,10,1,1,0,1,158,159,0,0,11,4,0,0,-0.22215475,6.759560027,7.366666667,5.717335931,6.339123122
11,2017,7,9,2,2,0,2,170,171,0,0,16,11,0,0,0.452941087,7.702124183,5.523603362,5.528557429,5.304328849
12,2017,5,3,1,1,0,1,142,145,0,0,11,13,0,0,-0.289021496,6.756564595,7.371286072,4.717501056,5.305429296
13,2017,3,11,8,8,0,8,171,172,0,0,5,5,0,0,-0.122231661,7.554816485,6.027740152,4.948635422,6.894153806
14,2017,7,2,10,10,0,2,172,155,0,0,11,7,0,0,-0.024489241,5.854128428,6.716605883,6.29216111,5.612957177
15,2017,8,7,9,7,1,7,188,137,0,0,10,2,0,0,-0.206094159,7.729202138,8.767669881,5.507477247,5.577174698
16,2017,6,8,1,1,0,1,176,177,0,0,11,13,0,0,0.027617539,6.651022248,6.823592796,5.564481492,5.304293766
17,2017,5,11,3,3,0,11,161,134,0,0,13,8,0,0,-0.503634525,5.621073261,7.592151324,4.726194177,5.09725861
18,2017,8,7,2,7,1,2,168,169,0,0,3,11,0,0,0.721464773,9.037775278,5.225238422,5.515137561,5.415406864
19,2017,1,10,9,9,0,10,159,154,0,0,11,10,0,0,-0.094325573,6.464381601,8.22055641,6.68120394,5.690101653
20,2017,3,3,8,8,0,3,213,192,0,0,4,8,0,0,-0.148107464,7.668725939,8.337933958,4.684391339,4.699457413
21,2017,1,10,7,10,1,10,191,176,0,0,4,7,0,0,-0.130143768,5.374647969,7.574079217,5.863347849,4.626842729
22,2017,4,9,1,1,0,1,198,199,0,0,12,8,0,0,0.224232416,6.958153483,6.08000486,5.080581484,4.896843121
23,2017,7,2,8,8,0,8,187,188,0,0,3,5,100,0,-0.476591246,5.922579264,8.559500266,5.511799181,5.502466005
24,2017,6,1,7,7,0,1,142,128,0,0,16,8,0,0,0.295040057,8.107520499,7.446672756,5.783965114,5.123208075
25,2017,2,10,11,11,0,11,176,179,0,0,8,3,0,0,-0.145259562,5.662217615,5.254868238,3.845175437,4.636017416
26,2017,3,9,8,8,0,9,188,162,0,0,5,7,0,0,0.519792496,8.190578719,5.529032992,5.90604974,5.625564352
27,2017,7,2,3,3,0,2,131,49,0,0,8,7,0,0,0.858407975,7.846826756,5.990623612,6.046531615,4.243450875
28,2017,6,11,1,1,0,11,160,157,0,0,4,6,100,0,-0.327933569,6.136099873,6.7344623,5.028973377,6.068142428
29,2017,2,11,2,2,0,2,182,184,0,0,7,13,0,0,-0.345753924,5.445055573,6.467581506,4.35691083,4.781867485
30,2017,5,3,8,8,0,8,134,135,0,0,12,8,100,0,-0.487615039,7.368611763,6.552948886,3.703588309,5.748929664
31,2017,7,7,2,2,0,2,160,161,0,0,7,10,0,100,-0.101340489,7.578807585,7.106590526,4.063499773,4.600064667
32,2017,9,10,9,9,0,10,207,181,0,0,3,5,100,0,-0.619460899,5.396478066,9.021400822,5.382758526,5.107785687
33,2017,2,11,3,3,0,11,157,96,0,0,4,4,100,0,0.448862333,6.833483396,8.131907845,6.7200201,4.119126876
34,2017,3,8,1,8,1,1,153,153,11,6,11,1,0,100,0.275568733,8.020048012,6.491781041,5.967168086,5.882020138
35,2017,9,7,9,9,0,9,67,68,0,0,5,2,100,0,-0.601874336,5.507930964,6.743480894,4.192111556,5.47106882
36,2017,1,10,2,2,0,10,209,161,0,0,8,5,0,100,-0.187298958,5.866295991,7.81515697,5.008821861,4.272675512
37,2017,6,3,1,3,1,1,162,165,0,0,4,7,0,100,-0.362095037,7.042404678,7.259282262,4.752983449,6.043863963
38,2017,2,8,11,11,0,11,161,167,0,0,7,7,100,0,0.150520539,7.064908104,6.177922183,5.869050616,5.872020542
39,2017,8,10,7,7,0,7,185,189,0,0,8,3,100,0,-0.014030831,5.188733869,5.081229136,3.941195239,4.068860806
40,2017,7,2,11,11,0,11,155,158,0,0,5,8,100,0,-0.133093616,7.585108384,6.25962314,4.508870459,6.042961851
41,2017,8,8,7,7,0,7,208,214,0,0,5,12,0,0,0.221408074,7.215495675,5.474969145,5.062721605,5.538298753
42,2017,5,9,3,3,0,9,138,119,0,0,12,7,100,0,0.345786892,7.265345928,7.099064749,5.088633718,4.1734005
43,2017,1,11,10,10,0,11,148,136,0,0,7,2,100,0,0.417778222,6.138161177,6.35355332,5.820982689,4.066974214
44,2017,8,1,7,7,0,1,212,66,0,0,19,3,100,0,0.361925338,6.740426092,6.022626339,6.164211117,5.034088934
45,2017,5,3,2,2,0,2,158,159,0,0,3,6,0,100,-0.06830332,7.261789946,5.670881939,3.806041691,5.107946962
46,2017,9,9,8,8,0,8,189,192,0,0,3,6,100,0,-0.310227402,6.505399514,7.199200361,5.064834798,5.854489626
47,2017,1,1,10,1,1,10,138,140,0,0,10,4,100,0,0.215130622,6.952438342,6.980583716,5.680399616,4.814640741
48,2017,9,9,2,2,0,9,167,153,0,0,12,4,0,100,0.302321661,7.608842311,7.400708374,5.921158852,4.901983452
49,2017,10,8,7,7,0,7,195,197,0,0,11,3,0,100,0.143849922,7.278162635,7.002458903,5.661581534,5.27140332
50,2017,6,9,1,1,0,9,230,223,0,0,10,8,0,100,0.150539608,7.280359439,7.391146995,5.680747902,5.015311527
51,2017,8,7,11,7,1,7,168,161,0,0,7,10,100,0,-0.280303007,5.889775665,6.387319463,5.035080152,5.9597394
52,2017,10,8,10,10,0,10,154,158,0,0,6,4,0,100,-0.013166596,5.819611254,6.37427365,5.279076409,4.872848823
53,2017,7,1,2,2,0,1,173,164,0,0,17,8,100,0,0.252859659,7.547080328,7.569243788,5.889634514,4.906946016
54,2017,2,9,11,11,0,11,73,78,0,0,3,1,100,0,0.359611666,7.149375643,5.237081625,5.267918538,5.281132907
55,2017,8,3,7,3,1,3,161,151,0,0,9,7,100,0,0.270543842,6.632008641,5.397638668,5.180666153,5.053247561
56,2017,6,11,1,1,0,11,162,142,0,0,7,9,100,0,-0.322832711,5.829535045,8.74729714,6.419335509,5.606315825
57,2017,5,10,2,2,0,2,128,48,0,0,7,4,0,0,-0.787619272,6.049385012,7.70301422,3.859366009,5.006492185
58,2017,5,2,1,1,0,1,107,111,0,0,7,8,0,100,-0.31695357,8.733301508,8.206927278,4.569616719,5.904774976
59,2017,1,1,11,1,1,1,129,128,0,0,8,9,0,100,0.432186583,8.081956166,4.853766832,5.75796828,6.33803468
60,2008,5,2,3,3,0,2,222,82,0,0,17,19,100,0,-0.198134913,7.338907098,7.924700401,5,5.291952518
61,2008,9,5,9,5,1,5,240,207,0,0,6,11,0,0,-0.369166645,5.800078774,6.48642616,5.437167753,7.040535095
62,2008,8,6,7,6,1,7,129,132,0,0,7,10,0,0,1.390942792,8.922680348,3.266025404,5.576199928,4.514039597
63,2008,6,1,3,1,1,3,165,166,0,0,11,5,100,0,0.12174627,6.462845886,7.600429544,5.863939633,4.558116165
64,2008,7,4,2,4,1,2,110,112,0,0,10,28,0,0,-0.138114203,7.87804878,6.827582892,6,7.879496413
65,2008,11,9,6,9,1,6,166,168,0,0,4,12,0,0,-0.013448633,8.000229885,7.313469086,6.250461729,6.916904448
66,2008,1,4,7,4,1,7,142,143,0,0,5,12,0,0,1.278092004,9.143770552,4.479431479,4.083554463,3.849949927
67,2008,12,5,1,1,0,5,208,202,0,0,18,13,0,0,-0.749000525,5.841186158,7.750204811,5.291112401,8.160833429
68,2008,1,4,6,6,0,6,214,217,0,0,6,7,0,0,-0.593067921,7.883221842,7.99595436,4.443112035,6.533627162
69,2008,9,9,1,1,0,9,182,116,0,0,7,7,0,0,-0.240240203,8.483865421,8.240683876,5.758689055,7.124749798
70,2008,5,3,6,6,0,6,135,138,0,0,6,3,0,0,-0.341469622,6.510483353,6.154379177,4.599022145,6.531885969
71,2008,12,2,5,2,1,5,147,152,0,0,8,18,0,0,0.599001993,7.916836263,4.515804202,5.26099295,5.432321354
72,2008,6,1,4,4,0,4,154,155,0,0,11,9,0,0,0.978834478,8.459847437,5.053866696,6.21656482,4.721418089
73,2008,9,7,9,7,1,9,158,162,0,0,11,9,0,0,-0.547266562,7.209052046,8.458977066,4.740376435,5.826974934
74,2008,5,5,3,5,1,5,178,165,0,0,4,7,0,0,-0.346521995,4.113796189,7.742440131,5.336180343,3.724877953
75,2008,7,2,1,2,1,1,137,138,0,0,13,15,0,100,-0.044692148,7.852770725,6.727568095,4.838074422,5.83478438
76,2008,8,7,3,3,0,7,191,181,0,0,4,12,0,100,-0.429585505,5.608255925,7.532899215,5.437197481,5.867282665
77,2008,1,4,9,9,0,9,164,167,0,0,4,6,0,0,0.173589415,8.663359169,7.004660868,5.264503622,5.759696079
78,2008,11,6,2,6,1,6,196,151,0,0,14,12,0,0,0.139629167,7.570490608,9.020226805,6.490026524,4.949686394
79,2008,12,5,7,5,1,7,169,172,0,0,7,6,0,0,0.023893804,5.804167701,4.809548777,4.642413929,5.476169691
80,2008,1,4,3,4,1,3,165,171,0,0,13,3,0,0,-0.217889208,6.473570017,7.614257544,5.66111438,5.743455308
81,2008,9,9,2,9,1,9,178,169,0,0,14,7,0,0,0.025496719,6.789932639,7.758548069,6.45656013,5.533090033
82,2008,6,1,7,7,0,1,162,133,0,0,10,4,100,0,0.700253684,9.134430216,5.887261395,7.277868633,6.052577298
83,2008,11,5,6,5,1,6,109,110,0,0,7,21,0,0,0.262423189,6.454010113,4.984026018,5.67184519,5.655686453
84,2008,5,3,9,9,0,9,126,127,0,0,10,17,0,100,0.160057414,7.486431145,6.487982518,5.869763414,5.916349793
85,2008,12,5,4,4,0,4,144,148,0,0,10,5,0,0,0.502286911,7.670371675,5.062291692,5.01420333,5.073408716
86,2008,6,6,1,1,0,1,103,104,0,0,7,12,0,0,-0.180810987,5.751064464,7.110498773,6.336223297,6.109137668
87,2008,8,7,5,5,0,5,187,188,0,0,12,11,100,0,-0.582067031,5.288702081,5.943138208,4.449095611,7.016602776
88,2008,7,2,3,2,1,2,129,124,0,0,5,6,100,0,0.48216127,9.267522224,6.78447758,4.833325311,4.914245046
89,2008,11,4,6,6,0,6,140,141,0,0,6,11,0,100,0.596852756,7.24695611,4.416572441,6.289570182,5.578621742
90,2008,5,3,1,1,0,1,122,126,0,0,11,13,0,0,-0.224625189,7.065454749,7.075316757,4.644598664,5.440331079
91,2008,12,5,9,9,0,5,181,163,0,0,15,3,100,0,0.02575926,5.570997012,7.539707392,7.25872646,5.233594215
92,2008,1,2,4,2,1,2,204,181,0,0,5,16,100,0,0.325091226,8.823574658,6.887160841,5.31537508,5.44397357
93,2008,11,7,6,6,0,6,156,159,0,0,11,17,100,0,-0.607352485,6.44567544,7.384290887,4.631708346,6.530979798
94,2008,9,3,9,3,1,9,143,144,0,0,15,9,0,100,0.094272768,6.123021139,5.932739678,5.002559049,4.782811656
95,2008,7,2,7,2,1,2,133,110,0,0,11,8,100,0,0.818422372,7.889359786,4.514121476,6.210369868,5.10542096
96,2008,6,5,1,1,0,1,156,158,0,0,12,16,100,0,-0.075605146,6.141218296,7.578223024,6.372098917,5.514362498
97,2008,9,9,6,6,0,9,221,180,0,0,5,4,0,100,0.110085148,6.000467574,7.397669482,6.66350719,4.917361201
98,2008,8,7,4,4,0,7,194,182,0,0,8,3,100,0,-0.903476363,5.272919131,8.176268427,4.564961009,5.940538492
99,2008,6,2,1,1,0,1,67,68,0,0,8,10,0,100,0.346978638,7.991729092,6.310171878,5.745764449,5.529809282
100,2008,8,7,9,7,1,9,118,94,0,0,10,4,0,0,-0.250620401,4.809332041,6.024179231,5.528357146,5.73176398
101,2008,11,6,3,3,0,6,197,132,0,0,26,6,100,0,0.184075368,6.377663688,6.966473337,6.487516692,5.070076743
102,2008,1,1,4,4,0,1,178,153,0,0,20,8,0,100,-0.344823141,6.922741529,8.70680099,5.957179569,6.199056486
103,2008,7,2,5,2,1,5,149,55,0,0,13,4,0,100,1.113105038,7.546212809,4.237297556,5.600923213,4.036183658
104,2008,5,3,7,7,0,7,154,158,0,0,9,12,0,0,0.04684741,6.972441899,5.197456434,4.665306829,6.00600016
105,2008,7,2,6,6,0,6,147,150,0,0,5,7,0,100,0.229830335,7.698266156,5.632886392,6.061204447,6.641217831
106,2008,6,9,1,1,0,9,189,188,0,0,12,23,0,0,-0.581055059,6.626054858,7.844263993,5.203584372,7.152337112
107,2008,12,3,5,3,1,3,126,112,0,0,4,12,0,100,0.189618129,7.128100523,5.730337846,5.404316111,5.7027345
108,2008,9,4,9,9,0,9,175,178,0,0,5,8,0,100,0.138490931,6.161831507,5.535194172,5.345628477,5.248790057
109,2008,8,1,7,7,0,7,176,179,0,0,9,3,100,0,0.249402656,6.17002357,4.777203104,6.948308754,6.585310945
110,2008,12,6,5,6,1,6,211,201,0,0,7,9,100,0,0.376057238,6.745657724,5.426711001,5.150293781,4.718142503
111,2008,5,3,4,4,0,3,156,153,0,0,5,6,100,0,-0.237836026,7.117215524,7.151170541,5.21816746,6.28395591
112,2008,7,9,2,9,1,2,174,175,0,0,11,9,0,0,-0.133444789,6.690130758,7.469890615,6.043511322,6.067741215
113,2008,11,1,6,6,0,6,145,146,0,0,13,16,100,0,-0.168320619,7.098704515,7.331387883,5.73524562,6.395324574
114,2008,1,4,5,4,1,5,147,148,0,0,16,11,100,0,0.822251849,8.02397319,5.078998148,7.246579031,5.268067688
